DelRegId,Regional,FechaEntrega,Status,Folio,Nombre Completo,CURP,IdTurno,Turno,Grado,Grupo,Codigo,IdEscuela,Escuela,IdStatusInsc,IdGenero,Genero,IdNivel,Nivel,IdTipoVal,TipoVal,Localidad,Mpio
2c633ea2-73f3-421d-a960-c7414dcff638,Javier@javier.com,10/14/2022,Entregado,Folio70,Nombre completo 71,Curp71,2,dos,Grado14,A,Codigo14,14,Esc14,1,2,H,1,Nivel1,1,Tipo1,Guaymas,Guaymas
534d8457-8969-4a38-9078-84bf0b55ac54,Guaymas2@Comercio.com,10/15/2022,Entregado,Folio71,Nombre completo 72,Curp72,1,uno,Grado15,A,Codigo15,15,Esc15,1,1,M,1,Nivel1,1,Tipo1,Guaymas,Guaymas
58e63ef8-5cd1-4703-bd7a-1ac9fccabe7d,Hermosillo@Comercio.com,10/11/2022,Entregado,Folio72,Nombre completo 73,Curp73,1,uno,Grado16,A,Codigo16,16,Esc16,1,2,H,1,Nivel1,1,Tipo1,Hermosillo,Hermosillo
649fd221-9c61-4f36-a6fe-3ba7f3828d6e,Guaymas@Comercio.com,10/12/2022,Entregado,Folio73,Nombre completo 74,Curp74,2,dos,Grado14,A,Codigo14,14,Esc14,1,2,H,1,Nivel1,1,Tipo1,Guaymas,Guaymas
beb8f0f1-92d4-429f-b129-73fa85936809,Nogales@Comercio.com,10/8/2022,Entregado,Folio74,Nombre completo 75,Curp75,1,uno,Grado15,A,Codigo15,15,Esc15,1,1,M,1,Nivel1,1,Tipo1,Nogales,Nogales
beb8f0f1-92d4-429f-b129-73fa85936809,Nogales@Comercio.com,10/9/2022,Entregado,Folio75,Nombre completo 76,Curp76,2,dos,Grado14,A,Codigo14,14,Esc14,1,2,H,1,Nivel1,1,Tipo1,Nogales,Nogales
beb8f0f1-92d4-429f-b129-73fa85936809,Nogales@Comercio.com,10/5/2022,Entregado,Folio76,Nombre completo 77,Curp77,1,uno,Grado15,A,Codigo15,15,Esc15,1,1,M,1,Nivel1,1,Tipo1,Nogales,Nogales
2c633ea2-73f3-421d-a960-c7414dcff638,Javier@javier.com,10/6/2022,Entregado,Folio77,Nombre completo 78,Curp78,1,uno,Grado16,A,Codigo16,16,Esc16,1,2,H,1,Nivel1,1,Tipo1,Guaymas,Guaymas
534d8457-8969-4a38-9078-84bf0b55ac54,Guaymas2@Comercio.com,10/2/2022,Entregado,Folio78,Nombre completo 79,Curp79,1,uno,Grado16,A,Codigo16,16,Esc16,1,2,H,1,Nivel1,1,Tipo1,Guaymas,Guaymas
534d8457-8969-4a38-9078-84bf0b55ac54,Guaymas2@Comercio.com,10/26/2022,Entregado,Folio79,Nombre completo 80,Curp80,2,dos,Grado14,A,Codigo14,14,Esc14,1,2,H,1,Nivel1,1,Tipo1,Guaymas,Guaymas
58e63ef8-5cd1-4703-bd7a-1ac9fccabe7d,Hermosillo@Comercio.com,10/27/2022,Entregado,Folio80,Nombre completo 81,Curp81,1,uno,Grado15,A,Codigo15,15,Esc15,1,1,M,1,Nivel1,1,Tipo1,Hermosillo,Hermosillo
649fd221-9c61-4f36-a6fe-3ba7f3828d6e,Guaymas@Comercio.com,10/23/2022,Entregado,Folio81,Nombre completo 82,Curp82,1,uno,Grado16,A,Codigo16,16,Esc16,1,2,H,1,Nivel1,1,Tipo1,Guaymas,Guaymas
d64dcc24-67a6-4ee0-abe1-d19319055235,Hermosillo2@Comercio.com,10/24/2022,Entregado,Folio82,Nombre completo 83,Curp83,1,uno,Grado16,A,Codigo16,16,Esc16,1,2,H,1,Nivel1,1,Tipo1,Hermosillo,Hermosillo
beb8f0f1-92d4-429f-b129-73fa85936809,Nogales@Comercio.com,10/20/2022,Entregado,Folio83,Nombre completo 84,Curp84,2,dos,Grado14,A,Codigo14,14,Esc14,1,2,H,1,Nivel1,1,Tipo1,Nogales,Nogales
beb8f0f1-92d4-429f-b129-73fa85936809,Nogales@Comercio.com,10/21/2022,Entregado,Folio84,Nombre completo 85,Curp85,2,dos,Grado14,A,Codigo14,14,Esc14,1,2,H,1,Nivel1,1,Tipo1,Nogales,Nogales
d64dcc24-67a6-4ee0-abe1-d19319055235,Hermosillo2@Comercio.com,10/17/2022,Entregado,Folio85,Nombre completo 86,Curp86,1,uno,Grado15,A,Codigo15,15,Esc15,1,1,M,1,Nivel1,1,Tipo1,Hermosillo,Hermosillo
534d8457-8969-4a38-9078-84bf0b55ac54,Guaymas2@Comercio.com,10/26/2022,Entregado,Folio86,Nombre completo 87,Curp87,2,dos,Grado14,A,Codigo14,14,Esc14,1,2,H,1,Nivel1,1,Tipo1,Guaymas,Guaymas
58e63ef8-5cd1-4703-bd7a-1ac9fccabe7d,Hermosillo@Comercio.com,10/27/2022,Entregado,Folio87,Nombre completo 88,Curp88,1,uno,Grado15,A,Codigo15,15,Esc15,1,1,M,1,Nivel1,1,Tipo1,Hermosillo,Hermosillo
649fd221-9c61-4f36-a6fe-3ba7f3828d6e,Guaymas@Comercio.com,10/23/2022,Entregado,Folio88,Nombre completo 89,Curp89,1,uno,Grado16,A,Codigo16,16,Esc16,1,2,H,1,Nivel1,1,Tipo1,Guaymas,Guaymas
d64dcc24-67a6-4ee0-abe1-d19319055235,Hermosillo2@Comercio.com,10/24/2022,Entregado,Folio89,Nombre completo 90,Curp90,1,uno,Grado16,A,Codigo16,16,Esc16,1,2,H,1,Nivel1,1,Tipo1,Hermosillo,Hermosillo
beb8f0f1-92d4-429f-b129-73fa85936809,Nogales@Comercio.com,10/20/2022,Entregado,Folio90,Nombre completo 91,Curp91,2,dos,Grado14,A,Codigo14,14,Esc14,1,2,H,1,Nivel1,1,Tipo1,Nogales,Nogales
